Type,Name,EdgeIdx,Src,Dst,Neighbor,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Edge,#SuperModels--karrinrachelle (e43),43,#SuperModels,karrinrachelle,#SuperModels,0.008821779862046242,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#TheOfficialUnveilingOfInseparableBySteveRude--karrinrachelle (e44),44,#TheOfficialUnveilingOfInseparableBySteveRude,karrinrachelle,#TheOfficialUnveilingOfInseparableBySteveRude,0.008592993952333927,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#TheOfficialUnveilingOfInseparableStarringKRandMFbySR--karrinrachelle (e45),45,#TheOfficialUnveilingOfInseparableStarringKRandMFbySR,karrinrachelle,#TheOfficialUnveilingOfInseparableStarringKRandMFbySR,0.009145302698016167,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#TopDogModel--karrinrachelle (e46),46,#TopDogModel,karrinrachelle,#TopDogModel,0.008968083187937737,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#TopModels--karrinrachelle (e47),47,#TopModels,karrinrachelle,#TopModels,0.009125692769885063,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#VegasBand--karrinrachelle (e48),48,#VegasBand,karrinrachelle,#VegasBand,0.008815236389636993,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazon--karrinrachelle (e49),49,#amazon,karrinrachelle,#amazon,0.008824862539768219,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonbooks--karrinrachelle (e50),50,#amazonbooks,karrinrachelle,#amazonbooks,0.00888962484896183,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonecho--karrinrachelle (e51),51,#amazonecho,karrinrachelle,#amazonecho,0.009249603375792503,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonfire--karrinrachelle (e52),52,#amazonfire,karrinrachelle,#amazonfire,0.008911548182368279,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
